,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,80,4,0.01,37,0.8333333333333334,0.7823529411764706,0.8070175438596491,13804.926795005798,0.9610503282275712,2.0
0,CTG_width,80,4,0.01,42,0.7764705882352941,0.7470588235294118,0.7076023391812866,13804.96242904663,0.9508780256288561,2.0
0,CTG_width,80,4,0.01,53,0.803921568627451,0.7529411764705882,0.7426900584795322,13805.10690665245,0.9661016949152542,2.0
0,CTG_width,80,4,0.1,37,0.7647058823529411,0.7588235294117647,0.7777777777777778,13804.703971624374,0.8257575757575755,2.0
0,CTG_width,80,4,0.1,42,0.6686274509803921,0.6352941176470588,0.6491228070175439,13804.998108386993,0.8368671570748524,2.0
0,CTG_width,80,4,0.1,53,0.7313725490196078,0.6941176470588235,0.6783625730994152,13804.551920175552,0.815668202764977,2.0
0,CTG_width,80,6,0.001,37,0.6176470588235294,0.6352941176470588,0.6608187134502924,13824.436380386353,0.9990099009900991,2.0
0,CTG_width,80,6,0.001,42,0.6470588235294118,0.611764705882353,0.7076023391812866,13822.219522953033,0.9988305687106436,2.0
0,CTG_width,80,6,0.001,53,0.6450980392156863,0.5352941176470588,0.6081871345029239,13823.966869831085,0.9978165938864629,2.0
0,CTG_width,80,6,0.01,37,0.5627450980392157,0.5705882352941176,0.6140350877192983,13825.550280809402,0.9916219119226638,2.0
0,CTG_width,80,6,0.01,42,0.6568627450980392,0.6411764705882353,0.5906432748538012,13825.841635227203,0.9887058053251855,2.0
0,CTG_width,80,6,0.01,53,0.7294117647058823,0.7294117647058823,0.6666666666666666,13835.62516093254,0.975,2.0
0,CTG_width,80,6,0.1,37,0.6078431372549019,0.6411764705882353,0.7017543859649122,13828.727961540222,0.9184100418410042,2.0
0,CTG_width,80,6,0.1,42,0.7235294117647059,0.6647058823529411,0.672514619883041,13834.593683958054,0.8980797636632157,2.0
0,CTG_width,80,6,0.1,53,0.7666666666666667,0.7352941176470589,0.7076023391812866,13828.231984138489,0.8994974874371859,2.0
