instance,depth,seed,train_acc,val_acc,test_acc,train_time
balance-scale,5,53,0.8814102564102564,0.7756410256410257,0.7898089171974523,0.0017421245574951172
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.001291036605834961
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.00046896934509277344
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.00043582916259765625
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.0009987354278564453
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.0013611316680908203
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.0017061233520507812
breast-cancer,4,37,0.8260869565217391,0.782608695652174,0.7,0.000408172607421875
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.0005447864532470703
breast-cancer,4,53,0.855072463768116,0.7246376811594203,0.6857142857142857,0.00041484832763671875
breast-cancer,5,37,0.8623188405797102,0.7681159420289855,0.6571428571428571,0.0004532337188720703
breast-cancer,5,42,0.9057971014492754,0.7101449275362319,0.6857142857142857,0.000453948974609375
breast-cancer,5,53,0.8840579710144928,0.6956521739130435,0.6428571428571429,0.0005469322204589844
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0004820823669433594
car-evaluation,2,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0005831718444824219
car-evaluation,2,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0010590553283691406
car-evaluation,3,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0006940364837646484
car-evaluation,3,42,0.7835648148148148,0.7939814814814815,0.8055555555555556,0.0007240772247314453
car-evaluation,3,53,0.8020833333333334,0.7893518518518519,0.7569444444444444,0.0007841587066650391
car-evaluation,4,37,0.8495370370370371,0.8240740740740741,0.8240740740740741,0.0005700588226318359
car-evaluation,4,42,0.8599537037037037,0.8819444444444444,0.8472222222222222,0.0006811618804931641
car-evaluation,4,53,0.8368055555555556,0.8356481481481481,0.8379629629629629,0.0006160736083984375
car-evaluation,5,37,0.875,0.8703703703703703,0.8425925925925926,0.0006239414215087891
car-evaluation,5,42,0.8692129629629629,0.8680555555555556,0.8564814814814815,0.0006430149078369141
car-evaluation,5,53,0.8680555555555556,0.8564814814814815,0.8032407407407407,0.0007548332214355469
hayes-roth,2,37,0.625,0.4,0.55,0.00037407875061035156
hayes-roth,2,42,0.5625,0.575,0.475,0.0005891323089599609
hayes-roth,2,53,0.5625,0.525,0.55,0.00030112266540527344
hayes-roth,3,37,0.675,0.425,0.625,0.00039696693420410156
hayes-roth,3,42,0.7125,0.6,0.6,0.00035190582275390625
hayes-roth,3,53,0.7,0.675,0.6,0.0004107952117919922
hayes-roth,4,37,0.7375,0.6,0.8,0.0005161762237548828
hayes-roth,4,42,0.7375,0.65,0.675,0.0008192062377929688
hayes-roth,4,53,0.7375,0.75,0.65,0.0003800392150878906
hayes-roth,5,37,0.7875,0.525,0.775,0.00046706199645996094
hayes-roth,5,42,0.85,0.75,0.825,0.00041103363037109375
hayes-roth,5,53,0.8875,0.8,0.8,0.0003979206085205078
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0004038810729980469
house-votes-84,2,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0004239082336425781
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.00039505958557128906
house-votes-84,3,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0005908012390136719
house-votes-84,3,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.00037598609924316406
house-votes-84,3,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0004942417144775391
house-votes-84,4,37,1.0,0.9482758620689655,0.9827586206896551,0.0007860660552978516
house-votes-84,4,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.0003287792205810547
house-votes-84,4,53,0.9827586206896551,0.9655172413793104,0.9655172413793104,0.0004570484161376953
house-votes-84,5,37,1.0,0.9655172413793104,0.9827586206896551,0.0003998279571533203
house-votes-84,5,42,0.9913793103448276,0.8793103448275862,0.9655172413793104,0.0005602836608886719
house-votes-84,5,53,0.9913793103448276,0.9310344827586207,0.9655172413793104,0.0006020069122314453
soybean-small,2,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.0005981922149658203
soybean-small,2,42,0.8260869565217391,0.6666666666666666,0.8333333333333334,0.0005848407745361328
soybean-small,2,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0003509521484375
soybean-small,3,37,1.0,0.9166666666666666,1.0,0.0005602836608886719
soybean-small,3,42,1.0,1.0,1.0,0.0005211830139160156
soybean-small,3,53,1.0,1.0,1.0,0.0005171298980712891
soybean-small,4,37,1.0,0.3333333333333333,0.8333333333333334,0.0006840229034423828
soybean-small,4,42,1.0,1.0,0.9166666666666666,0.00043392181396484375
soybean-small,4,53,1.0,1.0,1.0,0.0003829002380371094
soybean-small,5,37,1.0,0.9166666666666666,1.0,0.0006499290466308594
soybean-small,5,42,1.0,1.0,0.9166666666666666,0.0005502700805664062
soybean-small,5,53,1.0,1.0,1.0,0.00033473968505859375
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.0003859996795654297
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0003941059112548828
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.0007059574127197266
spect,3,37,0.7894736842105263,0.7761194029850746,0.8805970149253731,0.00044989585876464844
spect,3,42,0.8872180451127819,0.7611940298507462,0.7313432835820896,0.0005393028259277344
spect,3,53,0.8195488721804511,0.7761194029850746,0.8059701492537313,0.00040793418884277344
spect,4,37,0.8571428571428571,0.746268656716418,0.7910447761194029,0.0007376670837402344
spect,4,42,0.9323308270676691,0.7014925373134329,0.7014925373134329,0.0006680488586425781
spect,4,53,0.8421052631578947,0.7761194029850746,0.835820895522388,0.0005218982696533203
spect,5,37,0.8796992481203008,0.746268656716418,0.7910447761194029,0.0006029605865478516
